INDEX MQ-3 MQ-4 PRESION TEMPERATURA
1 598 493 114 26.44
2 604 491 113 26.50
3 606 489 113 26.50
INDEX MQ-3 MQ-4 PRESION TEMPERATURA
1 563 488 114 26.50
2 583 510 114 26.50
3 592 509 114 26.50
4 598 504 114 26.50
5 602 499 113 26.50
6 603 496 113 26.50
7 604 494 114 26.50
8 604 491 113 26.50
9 605 490 113 26.56
10 604 489 114 26.50
11 604 488 114 26.56
12 605 487 113 26.56
13 604 486 114 26.56
14 604 485 113 26.50
15 604 485 114 26.50
16 605 485 113 26.56
17 605 484 113 26.56
18 605 484 113 26.50
19 605 484 113 26.50
20 605 484 113 26.56
21 605 484 114 26.56
22 606 484 113 26.56
23 606 484 115 26.56
24 606 484 114 26.62
25 606 483 114 26.56
26 607 483 113 26.56
27 607 484 114 26.56
28 607 483 114 26.56
29 607 484 113 26.56
30 608 483 113 26.56
31 606 483 114 26.56
32 607 483 114 26.50
33 607 483 113 26.50
34 608 483 114 26.56
35 608 483 114 26.50
36 608 482 113 26.56
37 608 483 114 26.56
38 608 482 113 26.50
39 608 483 114 26.50
40 608 482 115 26.56
41 608 482 114 26.56
42 608 482 113 26.56
43 608 482 113 26.56
44 608 483 113 26.50
45 608 482 114 26.50
46 608 482 113 26.50
47 608 483 113 26.50
48 609 483 114 26.50
49 609 482 114 26.44
50 608 482 114 26.44
51 608 482 114 26.50
52 608 482 113 26.50
53 608 483 114 26.50
54 608 483 113 26.50
55 609 482 114 26.50
56 609 483 114 26.50
57 609 483 114 26.50
58 609 483 115 26.50
59 609 483 114 26.56
60 609 483 113 26.50
61 609 482 114 26.56
62 609 483 114 26.56
63 609 483 114 26.56
64 610 482 114 26.56
65 610 483 114 26.56
66 609 483 113 26.56
67 610 483 113 26.62
68 610 483 113 26.56
69 610 483 114 26.62
70 610 483 114 26.56
71 610 482 114 26.56
72 609 482 113 26.62
73 610 483 114 26.56
74 610 483 114 26.56
75 609 483 115 26.56
76 609 483 113 26.62
77 609 483 113 26.62
78 610 483 114 26.56
79 610 482 114 26.62
80 610 483 113 26.56
81 610 482 114 26.62
82 610 483 113 26.62
83 610 483 114 26.62
84 610 483 113 26.62
85 610 483 114 26.62
86 610 483 113 26.62
87 610 482 113 26.62
88 610 483 114 26.62
89 610 482 115 26.62
90 610 482 114 26.62
91 610 483 115 26.62
92 610 483 113 26.62
93 610 482 113 26.62
94 610 483 113 26.62
95 610 483 114 26.62
96 611 483 114 26.62
97 610 483 114 26.62
98 610 483 115 26.62
