1;MQ-3;MQ-4;PRESION
2;MQ-3;MQ-4;PRESION
3;96;159;128
4;MQ-3;MQ-4;PRESION
5;97;155;123
6;MQ-3;MQ-4;PRESION
7;98;157;124
8;MQ-3;MQ-4;PRESION
9;83;123;125
10;MQ-3;MQ-4;PRESION
11;91;125;130
12;MQ-3;MQ-4;PRESION
13;91;135;130
14;MQ-3;MQ-4;PRESION
15;84;118;123
16;MQ-3;MQ-4;PRESION
17;95;147;123
18;94;147;121
19;MQ-3;MQ-4;PRESION
20;95;151;130
21;93;150;122
22;93;152;122
23;92;152;123
24;93;154;121
25;92;155;120
26;92;155;121
27;92;155;122
28;93;155;122
29;MQ-3;MQ-4;PRESION
30;72;109;122
31;76;113;119
32;81;118;119
33;84;119;119
34;86;123;119
35;92;124;120
36;89;130;119
37;91;131;119
38;90;132;119
39;92;134;118
40;91;139;120
41;90;139;119
42;91;141;121
43;91;142;119
44;89;142;119
45;89;144;119
46;91;146;119
47;90;145;119
48;93;145;120
49;91;148;118
50;90;146;119
51;90;147;119
52;92;147;118
53;92;148;120
54;90;148;119
55;89;148;119
56;89;149;119
57;88;148;119
58;91;152;118
59;92;148;118
60;90;150;119
61;92;148;118
62;90;149;119
63;91;151;118
64;91;151;121
65;90;149;119
66;90;151;119
67;91;151;120
68;91;151;120
69;92;152;118
70;90;149;119
71;91;151;120
72;90;151;119
73;91;151;118
74;90;149;119
75;90;149;119
76;91;151;120
77;90;149;119
78;90;149;119
79;90;151;119
80;90;149;119
81;90;149;120
82;91;151;118
83;91;151;118
84;91;151;120
85;91;151;118
86;90;149;119
87;91;150;120
88;90;149;119
89;90;149;119
90;90;148;119
91;90;148;119
92;91;150;119
93;91;150;119
94;90;148;119
95;92;150;118
96;90;148;118
97;91;150;118
98;90;149;119
99;90;149;119
100;90;148;119
101;91;150;119
102;92;148;118
103;90;148;119
104;90;148;119
105;90;149;119
106;92;148;118
107;91;148;118
108;92;148;118
109;91;150;120
110;90;149;119
111;90;148;119
112;91;150;120
113;90;148;119
114;91;150;121
115;92;147;118
116;92;148;118
117;92;150;118
118;90;149;119
119;92;148;118
120;93;147;118
121;91;150;118
122;90;148;118
123;91;149;120
124;91;149;120
125;90;148;119
126;91;149;121
127;90;148;119
128;90;148;119
129;90;147;119
130;93;147;118
131;91;149;119
132;90;147;119
133;91;147;119
134;90;147;119
135;93;147;118
136;90;147;119
137;91;149;119
138;90;147;119
139;92;148;120
140;91;149;120
141;90;147;119
142;90;147;119
143;91;147;119
144;93;146;118
145;94;149;119
146;93;147;118
147;93;149;120
148;92;146;119
149;92;147;119
150;94;146;118
151;93;147;120
152;92;147;119
153;94;147;118
154;94;148;118
155;92;147;119
156;93;148;120
157;94;146;118
158;94;149;119
159;92;146;119
160;94;148;120
161;94;147;118
162;92;147;119
163;94;148;120
164;92;147;119
165;93;148;120
166;94;148;118
167;93;148;121
168;93;148;120
169;92;146;119
170;94;146;118
171;94;149;118
172;92;147;119
173;92;146;119
174;92;147;119
175;92;147;119
176;94;146;118
177;94;146;118
178;94;146;118
179;92;146;119
180;94;146;118
181;94;148;118
182;93;148;121
183;94;148;118
184;92;146;119
185;93;147;120
186;93;148;118
187;93;146;118
188;92;147;119
189;92;147;119
190;94;148;118
191;92;146;119
192;93;147;119
193;92;147;119
194;93;146;118
195;92;147;119
196;94;148;118
197;92;146;118
198;94;146;118
199;92;146;119
200;93;148;120
201;92;147;119
202;95;146;118
203;93;147;121
204;94;146;118
205;94;148;120
206;93;148;120
207;94;148;120
208;94;146;119
209;93;147;119
210;92;146;119
211;94;145;120
212;92;146;119
213;92;146;119
214;94;146;118
215;92;147;119
216;92;146;119
217;94;148;120
218;93;147;119
219;91;146;119
220;91;146;119
221;91;148;118
222;91;148;120
223;91;148;118
224;93;148;118
225;93;148;118
226;90;146;119
227;92;147;119
228;93;148;118
229;94;148;118
230;91;146;119
231;94;145;118
232;94;148;118
233;94;148;118
234;93;147;119
235;92;146;119
236;94;148;118
237;92;146;119
238;94;148;118
239;94;148;118
240;94;148;118
241;95;145;118
242;95;148;118
243;92;146;119
244;93;146;119
245;95;145;118
246;95;146;118
247;95;145;118
248;95;148;118
249;92;146;119
250;94;148;120
251;92;146;121
252;94;148;120
253;92;146;119
254;92;147;119
255;93;147;119
256;92;146;119
257;92;147;119
258;92;147;119
259;94;148;120
260;92;147;119
261;92;146;119
262;93;147;119
263;92;146;119
264;92;147;119
265;94;148;120
266;93;147;120
267;92;147;119
268;93;148;120
269;94;148;118
270;94;148;118
271;92;147;119
272;92;147;119
273;93;147;119
274;93;147;120
275;92;145;119
276;94;146;119
277;94;145;118
278;94;148;118
279;91;145;121
280;90;145;121
281;92;145;118
282;90;145;119
283;90;145;119
284;90;147;119
285;92;145;118
286;92;145;118
287;89;145;119
288;89;145;119
289;89;145;119
290;89;145;119
291;89;145;119
292;89;147;119
293;92;145;120
294;89;147;119
295;89;147;120
296;91;148;118
297;91;148;118
298;89;145;119
299;91;148;118
300;91;148;119
301;92;145;118
302;91;148;118
303;92;145;118
304;89;147;119
305;89;145;119
306;91;148;118
307;89;147;119
308;89;147;120
309;89;145;119
310;89;147;120
311;92;145;118
312;92;145;118
313;95;148;118
314;91;147;122
315;93;148;120
316;92;147;119
317;92;147;119
318;94;148;120
319;94;147;118
320;94;145;118
321;92;147;121
322;92;147;119
323;92;147;119
324;94;146;118
325;92;145;119
326;91;148;120
327;91;148;120
328;91;145;121
329;93;145;118
330;91;145;119
331;92;145;119
332;94;146;120
333;92;147;122
334;92;145;147
335;92;145;121
336;92;145;117
337;93;147;119
338;93;145;118
339;95;144;118
340;93;147;120
341;94;148;117
342;92;145;119
343;93;147;120
344;92;145;119
345;94;148;120
346;94;146;118
347;94;148;118
348;92;145;119
349;94;146;122
350;92;147;119
351;93;147;119
352;95;147;120
353;94;147;119
354;93;147;119
355;93;146;119
356;93;146;119
357;92;146;119
358;96;147;119
359;96;148;120
360;93;147;119
361;95;146;118
362;93;146;119
363;95;148;118
364;95;148;118
365;93;147;119
366;94;146;117
367;95;148;117
368;92;146;119
369;95;146;117
370;95;147;119
371;95;147;120
372;94;146;119
373;96;147;120
374;95;148;120
375;96;145;118
376;99;148;118
377;96;147;119
378;96;145;118
379;95;148;118
380;95;148;117
381;95;146;117
382;95;147;118
383;93;146;119
384;93;145;117
385;95;148;117
